Day,Hour,Marginal Price (Pkr/Kwh)
15,17,22.88813
15,18,14.592249
15,19,14.593398
15,20,14.586974
15,21,14.592708
15,22,14.583998
15,23,14.603028
16,0,29.9426
16,1,14.580103
16,2,24.226044
16,3,14.56152
16,4,14.572989
16,5,14.571379
16,6,29.9426
16,7,14.580793
16,8,24.226044
16,9,24.226044
16,10,24.226044
16,11,9.764391
16,12,9.769182
16,13,14.609682
16,14,14.623207
16,15,14.619312
16,16,14.617473
16,17,14.617473
16,18,24.226044
16,19,14.619082
16,20,24.226044
16,21,24.226044
16,22,29.9426
16,23,29.9426
17,0,24.226044
17,1,24.226044
17,2,24.226044
17,3,24.226044
17,4,24.226044
17,5,29.597716
17,6,24.226044
17,7,14.554879
17,8,9.977223
17,9,11.117438
17,10,5.8083
17,11,12.07316
17,12,11.9709
17,13,14.70335
17,14,14.105804
17,15,24.226044
17,16,24.226044
17,17,14.639492
17,18,14.977293
17,19,14.847858
17,20,24.226044
17,21,29.9426
17,22,29.9426
17,23,29.9426
18,0,31.995004
18,1,31.174879
18,2,24.226044
18,3,24.226044
18,4,24.226044
18,5,13.990571
18,6,11.129188
18,7,10.303933
18,8,12.07316
18,9,14.137244
18,10,24.36568
18,11,24.226044
18,12,24.226044
18,13,24.226044
18,14,24.226044
18,15,24.36568
18,16,24.226044
18,17,14.730299
18,18,5.7796
18,19,5.8083
18,20,24.226044
18,21,24.226044
18,22,29.9426
18,23,32.271551
19,0,32.26151
19,1,32.291049
19,2,31.543705
19,3,24.226044
19,4,24.226044
19,5,24.226044
19,6,24.226044
19,7,24.226044
19,8,24.226044
19,9,24.226044
19,10,24.226044
19,11,24.226044
19,12,24.226044
19,13,24.226044
19,14,24.226044
19,15,24.226044
19,16,14.343586
19,17,14.847971
19,18,12.07316
19,19,12.07316
19,20,14.608993
19,21,24.226044
19,22,24.226044
19,23,24.226044
20,0,24.226044
20,1,24.226044
20,2,24.226044
20,3,24.226044
20,4,24.226044
20,5,24.226044
20,6,24.226044
20,7,24.226044
20,8,14.599133
20,9,14.601189
20,10,14.611508
20,11,24.226044
20,12,24.226044
20,13,24.226044
20,14,24.226044
20,15,24.226044
20,16,24.226044
20,17,24.226044
20,18,14.617933
20,19,13.9352
20,20,24.226044
20,21,24.226044
20,22,24.226044
20,23,32.223049
21,0,24.226044
21,1,24.226044
21,2,24.226044
21,3,24.226044
21,4,14.564279
21,5,24.226044
21,6,24.226044
21,7,14.572989
21,8,14.574828
21,9,29.689643
21,10,24.226044
21,11,24.226044
21,12,14.612888
21,13,14.607383
21,14,14.611062
21,15,24.226044
21,16,24.226044
